Thumbnails	Name	Execution Cost	VS Invocations	Sampler Calls/VS Invocation	VS Texture Cache Miss Rate	VS Occupancy	VS ALU Instructions	VS ALU Float Instructions	VS ALU Half Instructions	VS ALU Integer and Conditional Instructions	VS ALU Integer and Complex Instructions	VS Invocation Utilization	VS Bytes Read From Device Memory	VS Bytes Written To Device Memory	VS Device Memory Bandwidth	VS Buffer Device Memory Bytes Read	VS Buffer Device Memory Bytes Written	VS Device Atomic Bytes Read	VS Device Atomic Bytes Written	VS Last Level Cache Bytes Read	VS Last Level Cache Bytes Written	VS Texture L1 Bytes Read	VS ALU Performance	
-	546 Compute Encoder 0 0x79f00c8c0	3.520%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	1501 Compute Encoder 0 0x79f00dfe0	4.917%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	2615 Compute Encoder 0 0x79f00e260	3.781%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	3851 Compute Encoder 0 0x79f00e580	4.763%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	5096 Compute Encoder 0 0x79f00e940	4.826%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	6329 Compute Encoder 0 0x79f00ed00	4.533%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	7539 Compute Encoder 0 0x79f00f0c0	4.007%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	8772 Compute Encoder 0 0x79f00f480	4.915%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	10012 Compute Encoder 0 0x79f00f840	4.514%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	10974 Compute Encoder 0 0x79f00fac0	9.740%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
